City,Title,Location,Price,Area,Status,Price_Lakhs,Area_sqft,Price_per_sqft
Mumbai,"3 BHK Flat  for Sale in  RNA NG Eclat, RNA NG Eclat, Andheri West, Mumbai","3 BHK Flat  for Sale in  RNA NG Eclat, RNA NG Eclat, Andheri West, Mumbai",₹4.60 Cr,1116 sqft,Ready to Move,459.99999999999994,1116.0,41218.64
Mumbai,"4 BHK Flat  for Sale in  Worli, Mumbai","4 BHK Flat  for Sale in  Worli, Mumbai",₹30.03 Cr,3562 sqft,Poss. by Dec '30,3003.0,3562.0,84306.57
Mumbai,"2 BHK Flat  for Sale in  Gujarat Kasturi Van, Gujarat Kasturi Van, Bhayandar East, Mumbai","2 BHK Flat  for Sale in  Gujarat Kasturi Van, Gujarat Kasturi Van, Bhayandar East, Mumbai",₹1.14 Cr,764 sqft,Poss. by Dec '28,113.99999999999999,764.0,14921.47
Mumbai,"3 BHK Flat  for Sale in  Hiranandani Gardens Glen Croft, Hiranandani Gardens Glen Croft, Hiranandani Gardens, Mumbai","3 BHK Flat  for Sale in  Hiranandani Gardens Glen Croft, Hiranandani Gardens Glen Croft, Hiranandani Gardens, Mumbai",₹5.25 Cr,1500 sqft,Ready to Move,525.0,1500.0,35000.0
Mumbai,"3 BHK Flat  for Sale in  Ruparel Iris, Ruparel Iris, Matunga West, Mumbai","3 BHK Flat  for Sale in  Ruparel Iris, Ruparel Iris, Matunga West, Mumbai",₹9.88 Cr,1356 sqft,,988.0000000000001,1356.0,72861.36
Mumbai,"2 BHK Flat  for Sale in  Temple hill, Temple hill, Sion, Mumbai","2 BHK Flat  for Sale in  Temple hill, Temple hill, Sion, Mumbai",₹3 Cr,850 sqft,Ready to Move,300.0,850.0,35294.12
Mumbai,"3 BHK Flat  for Sale in  Chandak Sarvam, Chandak Sarvam, Andheri East, Mumbai","3 BHK Flat  for Sale in  Chandak Sarvam, Chandak Sarvam, Andheri East, Mumbai",₹4.11 Cr,1100 sqft,Poss. by Dec '30,411.00000000000006,1100.0,37363.64
Mumbai,"3 BHK Flat  for Sale in  Ruparel Stardom, Ruparel Stardom, Malad West, Mumbai","3 BHK Flat  for Sale in  Ruparel Stardom, Ruparel Stardom, Malad West, Mumbai",₹3.57 Cr,1260 sqft,Poss. by Dec '28,357.0,1260.0,28333.33
Mumbai,"3 BHK Flat  for Sale in  Lodha Bellevue, Lodha Bellevue, Byculla, Mumbai","3 BHK Flat  for Sale in  Lodha Bellevue, Lodha Bellevue, Byculla, Mumbai",₹5.97 Cr,1162 sqft,Poss. by Dec '26,597.0,1162.0,51376.94
Mumbai,"Office Space for Sale in Hubtown VIVA, Jogeshwari East Mumbai","  Office Space for Sale in Hubtown VIVA, Jogeshwari East Mumbai",₹67.19 Cr,1007 sqft,Ready to Move,6719.0,1007.0,667229.39
Mumbai,"3 BHK Flat  for Sale in  Kalpataru Regalia, Kalpataru Regalia, Link Road, Mumbai","3 BHK Flat  for Sale in  Kalpataru Regalia, Kalpataru Regalia, Link Road, Mumbai",₹5 Cr,1188 sqft,Ready to Move,500.0,1188.0,42087.54
Mumbai,"3 BHK Flat  for Sale in  Lodha New Cuffe Parade, Lodha New Cuffe Parade, Eastern Freeway, Mumbai","3 BHK Flat  for Sale in  Lodha New Cuffe Parade, Lodha New Cuffe Parade, Eastern Freeway, Mumbai",₹3.70 Cr,952 sqft,Poss. by Dec '28,370.0,952.0,38865.55
Mumbai,"2 BHK Flat  for Sale in  Godrej Platinum, Godrej Platinum, Vikhroli East, Mumbai","2 BHK Flat  for Sale in  Godrej Platinum, Godrej Platinum, Vikhroli East, Mumbai",₹3.12 Cr,849 sqft,Ready to Move,312.0,849.0,36749.12
Mumbai,"3 BHK Flat  for Sale in  Altavia, Altavia, Goregaon West, Mumbai","3 BHK Flat  for Sale in  Altavia, Altavia, Goregaon West, Mumbai",₹4.17 Cr,1346 sqft,Poss. by Mar '30,417.0,1346.0,30980.68
Mumbai,"3 BHK Flat  for Sale in  Godrej Five Gardens, Godrej Five Gardens, Matunga, Mumbai","3 BHK Flat  for Sale in  Godrej Five Gardens, Godrej Five Gardens, Matunga, Mumbai",₹13.29 Cr,1496 sqft,Poss. by Dec '28,1329.0,1496.0,88836.9
Mumbai,"3 BHK Flat  for Sale in  Chandak Treesourus, Chandak Treesourus, Malad West, Mumbai","3 BHK Flat  for Sale in  Chandak Treesourus, Chandak Treesourus, Malad West, Mumbai",₹3.43 Cr,1068 sqft,Poss. by Dec '28,343.0,1068.0,32116.1
Mumbai,"3 BHK Flat  for Sale in  Lodha Enchante, Lodha Enchante, Wadala East, Mumbai","3 BHK Flat  for Sale in  Lodha Enchante, Lodha Enchante, Wadala East, Mumbai",₹5.08 Cr,1510 sqft,Ready to Move,508.0,1510.0,33642.38
Mumbai,"1 BHK Flat  for Sale in  Sushanku Avenue 36, Sushanku Avenue 36, Siddharth Nagar Goregaon West, Mumbai","1 BHK Flat  for Sale in  Sushanku Avenue 36, Sushanku Avenue 36, Siddharth Nagar Goregaon West, Mumbai",₹1.27 Cr,427 sqft,Ready to Move,127.0,427.0,29742.39
Mumbai,"3 BHK Flat  for Sale in  Rishabraj Ceramont, Rishabraj Ceramont, Evershine Nagar, Mumbai","3 BHK Flat  for Sale in  Rishabraj Ceramont, Rishabraj Ceramont, Evershine Nagar, Mumbai",₹2.83 Cr,1053 sqft,Poss. by Dec '31,283.0,1053.0,26875.59
Mumbai,"4 BHK Flat  for Sale in  Godrej Sky Shore, Godrej Sky Shore, Andheri West, Mumbai","4 BHK Flat  for Sale in  Godrej Sky Shore, Godrej Sky Shore, Andheri West, Mumbai",₹11.47 Cr,2155 sqft,Poss. by Dec '31,1147.0,2155.0,53225.06
Mumbai,"3 BHK Flat  for Sale in  7 Mahalaxmi, 7 Mahalaxmi, Mahalakshmi, Mumbai","3 BHK Flat  for Sale in  7 Mahalaxmi, 7 Mahalaxmi, Mahalakshmi, Mumbai",₹6.93 Cr,1297 sqft,Poss. by Oct '31,693.0,1297.0,53430.99
Mumbai,"2 BHK Flat  for Sale in  Kanakia Silicon Valley, Kanakia Silicon Valley, Hiranandani Gardens, Mumbai","2 BHK Flat  for Sale in  Kanakia Silicon Valley, Kanakia Silicon Valley, Hiranandani Gardens, Mumbai",₹2.90 Cr,771 sqft,Ready to Move,290.0,771.0,37613.49
Mumbai,"3 BHK Flat  for Sale in  Spenta Anthea, Spenta Anthea, Andheri West, Mumbai","3 BHK Flat  for Sale in  Spenta Anthea, Spenta Anthea, Andheri West, Mumbai",₹4.97 Cr,1133 sqft,Poss. by Dec '29,497.0,1133.0,43865.84
Mumbai,"2 BHK Flat  for Sale in  Neelam Senroofs, Neelam Senroofs, Nahur East, Mumbai","2 BHK Flat  for Sale in  Neelam Senroofs, Neelam Senroofs, Nahur East, Mumbai",₹2.60 Cr,893 sqft,Poss. by Dec '27,260.0,893.0,29115.34
Mumbai,"2 BHK Flat  for Sale in  The Wadhwa Atmosphere O2, The Wadhwa Atmosphere O2, Mulund West, Mumbai","2 BHK Flat  for Sale in  The Wadhwa Atmosphere O2, The Wadhwa Atmosphere O2, Mulund West, Mumbai",₹1.96 Cr,634 sqft,Poss. by Dec '26,196.0,634.0,30914.83
Mumbai,"2 BHK Flat  for Sale in  Santacruz West, Mumbai","2 BHK Flat  for Sale in  Santacruz West, Mumbai",₹3.75 Cr,850 sqft,Ready to Move,375.0,850.0,44117.65
Mumbai,"2 BHK Flat  for Sale in  Chandak Treesourus, Chandak Treesourus, Chincholi Bunder, Mumbai","2 BHK Flat  for Sale in  Chandak Treesourus, Chandak Treesourus, Chincholi Bunder, Mumbai",₹2.65 Cr,744 sqft,Poss. by Jun '27,265.0,744.0,35618.28
Mumbai,"3 BHK Flat  for Sale in  Oberoi Exquisite, Oberoi Exquisite, Goregaon East, Mumbai","3 BHK Flat  for Sale in  Oberoi Exquisite, Oberoi Exquisite, Goregaon East, Mumbai",₹6.76 Cr,1250 sqft,Ready to Move,676.0,1250.0,54080.0
Bangalore,"3 BHK Flat  for Sale in  Inspira Winds Of Life, Sarjapura Attibele Road, Bangalore","3 BHK Flat  for Sale in  Inspira Winds Of Life, Sarjapura Attibele Road, Bangalore",₹2.04 Cr,1497 sqft,Poss. by Nov '28,204.0,1497.0,13627.25
Bangalore,"3 BHK Flat  for Sale in  Godrej Woods, Thanisandra Main Road, Bangalore","3 BHK Flat  for Sale in  Godrej Woods, Thanisandra Main Road, Bangalore",₹2.72 Cr,1026 sqft,,272.0,1026.0,26510.72
Bangalore,"4 BHK Flat  for Sale in  Total Environment Windmills Of Your Mind, Whitefield, Bangalore","4 BHK Flat  for Sale in  Total Environment Windmills Of Your Mind, Whitefield, Bangalore",₹13.50 Cr,6000 sqft,Ready to Move,1350.0,6000.0,22500.0
Bangalore,"3 BHK Flat  for Sale in  Phoenix Kessaku, Rajajinagar, Bangalore","3 BHK Flat  for Sale in  Phoenix Kessaku, Rajajinagar, Bangalore",₹6 Cr,2100 sqft,Ready to Move,600.0,2100.0,28571.43
Bangalore,"3 BHK Flat  for Sale in  G Corp The Icon, Thanisandra, Bangalore","3 BHK Flat  for Sale in  G Corp The Icon, Thanisandra, Bangalore",₹2.65 Cr,1645 sqft,Ready to Move,265.0,1645.0,16109.42
Bangalore,"3 BHK Flat  for Sale in  Prestige Shantiniketan, Whitefield, Bangalore","3 BHK Flat  for Sale in  Prestige Shantiniketan, Whitefield, Bangalore",₹4.40 Cr,1661 sqft,Ready to Move,440.00000000000006,1661.0,26490.07
Bangalore,"2 BHK Flat  for Sale in  Prestige Falcon City, Kanakapura Road, Bangalore","2 BHK Flat  for Sale in  Prestige Falcon City, Kanakapura Road, Bangalore",₹2.25 Cr,900 sqft,Ready to Move,225.0,900.0,25000.0
