City,Title,Location,Price,Area,Status
Mumbai,"3 BHK Flat  for Sale in  RNA NG Eclat, RNA NG Eclat, Andheri West, Mumbai","3 BHK Flat  for Sale in  RNA NG Eclat, RNA NG Eclat, Andheri West, Mumbai",₹4.60 Cr,1116 sqft,Ready to Move
Mumbai,"4 BHK Flat  for Sale in  Worli, Mumbai","4 BHK Flat  for Sale in  Worli, Mumbai",₹30.03 Cr,3562 sqft,Poss. by Dec '30
Mumbai,"3 BHK Flat  for Sale in  Krishna Residency Atmaram Compound, Krishna Residency Atmaram Compound, Malad West, Mumbai","3 BHK Flat  for Sale in  Krishna Residency Atmaram Compound, Krishna Residency Atmaram Compound, Malad West, Mumbai",₹3.80 Cr,N/A,Ready to Move
Mumbai,"2 BHK Flat  for Sale in  Gujarat Kasturi Van, Gujarat Kasturi Van, Bhayandar East, Mumbai","2 BHK Flat  for Sale in  Gujarat Kasturi Van, Gujarat Kasturi Van, Bhayandar East, Mumbai",₹1.14 Cr,764 sqft,Poss. by Dec '28
Mumbai,"3 BHK Flat  for Sale in  Hiranandani Gardens Glen Croft, Hiranandani Gardens Glen Croft, Hiranandani Gardens, Mumbai","3 BHK Flat  for Sale in  Hiranandani Gardens Glen Croft, Hiranandani Gardens Glen Croft, Hiranandani Gardens, Mumbai",₹5.25 Cr,1500 sqft,Ready to Move
Mumbai,"3 BHK Flat  for Sale in  Ruparel Iris, Ruparel Iris, Matunga West, Mumbai","3 BHK Flat  for Sale in  Ruparel Iris, Ruparel Iris, Matunga West, Mumbai",₹9.88 Cr,1356 sqft,N/A
Mumbai,"2 BHK Flat  for Sale in  Temple hill, Temple hill, Sion, Mumbai","2 BHK Flat  for Sale in  Temple hill, Temple hill, Sion, Mumbai",₹3 Cr,850 sqft,Ready to Move
Mumbai,"3 BHK Flat  for Sale in  Chandak Sarvam, Chandak Sarvam, Andheri East, Mumbai","3 BHK Flat  for Sale in  Chandak Sarvam, Chandak Sarvam, Andheri East, Mumbai",₹4.11 Cr,1100 sqft,Poss. by Dec '30
Mumbai,"3 BHK Flat  for Sale in  Ruparel Stardom, Ruparel Stardom, Malad West, Mumbai","3 BHK Flat  for Sale in  Ruparel Stardom, Ruparel Stardom, Malad West, Mumbai",₹3.57 Cr,1260 sqft,Poss. by Dec '28
Mumbai,"3 BHK Flat  for Sale in  Lodha Bellevue, Lodha Bellevue, Byculla, Mumbai","3 BHK Flat  for Sale in  Lodha Bellevue, Lodha Bellevue, Byculla, Mumbai",₹5.97 Cr,1162 sqft,Poss. by Dec '26
Mumbai,"Office Space for Sale in Hubtown VIVA, Jogeshwari East Mumbai","  Office Space for Sale in Hubtown VIVA, Jogeshwari East Mumbai",₹67.19 Cr,1007 sqft,Ready to Move
Mumbai,"3 BHK Flat  for Sale in  Kalpataru Regalia, Kalpataru Regalia, Link Road, Mumbai","3 BHK Flat  for Sale in  Kalpataru Regalia, Kalpataru Regalia, Link Road, Mumbai",₹5 Cr,1188 sqft,Ready to Move
Mumbai,"3 BHK Flat  for Sale in  Lodha New Cuffe Parade, Lodha New Cuffe Parade, Eastern Freeway, Mumbai","3 BHK Flat  for Sale in  Lodha New Cuffe Parade, Lodha New Cuffe Parade, Eastern Freeway, Mumbai",₹3.70 Cr,952 sqft,Poss. by Dec '28
Mumbai,"2 BHK Flat  for Sale in  Godrej Platinum, Godrej Platinum, Vikhroli East, Mumbai","2 BHK Flat  for Sale in  Godrej Platinum, Godrej Platinum, Vikhroli East, Mumbai",₹3.12 Cr,849 sqft,Ready to Move
Mumbai,"3 BHK Flat  for Sale in  Altavia, Altavia, Goregaon West, Mumbai","3 BHK Flat  for Sale in  Altavia, Altavia, Goregaon West, Mumbai",₹4.17 Cr,1346 sqft,Poss. by Mar '30
Mumbai,"3 BHK Flat  for Sale in  Godrej Five Gardens, Godrej Five Gardens, Matunga, Mumbai","3 BHK Flat  for Sale in  Godrej Five Gardens, Godrej Five Gardens, Matunga, Mumbai",₹13.29 Cr,1496 sqft,Poss. by Dec '28
Mumbai,"3 BHK Flat  for Sale in  Chandak Treesourus, Chandak Treesourus, Malad West, Mumbai","3 BHK Flat  for Sale in  Chandak Treesourus, Chandak Treesourus, Malad West, Mumbai",₹3.43 Cr,1068 sqft,Poss. by Dec '28
Mumbai,"3 BHK Flat  for Sale in  Lodha Enchante, Lodha Enchante, Wadala East, Mumbai","3 BHK Flat  for Sale in  Lodha Enchante, Lodha Enchante, Wadala East, Mumbai",₹5.08 Cr,1510 sqft,Ready to Move
Mumbai,"1 BHK Flat  for Sale in  Sushanku Avenue 36, Sushanku Avenue 36, Siddharth Nagar Goregaon West, Mumbai","1 BHK Flat  for Sale in  Sushanku Avenue 36, Sushanku Avenue 36, Siddharth Nagar Goregaon West, Mumbai",₹1.27 Cr,427 sqft,Ready to Move
Mumbai,"3 BHK Flat  for Sale in  Rishabraj Ceramont, Rishabraj Ceramont, Evershine Nagar, Mumbai","3 BHK Flat  for Sale in  Rishabraj Ceramont, Rishabraj Ceramont, Evershine Nagar, Mumbai",₹2.83 Cr,1053 sqft,Poss. by Dec '31
Mumbai,"4 BHK Flat  for Sale in  Godrej Sky Shore, Godrej Sky Shore, Andheri West, Mumbai","4 BHK Flat  for Sale in  Godrej Sky Shore, Godrej Sky Shore, Andheri West, Mumbai",₹11.47 Cr,2155 sqft,Poss. by Dec '31
Mumbai,"3 BHK Flat  for Sale in  7 Mahalaxmi, 7 Mahalaxmi, Mahalakshmi, Mumbai","3 BHK Flat  for Sale in  7 Mahalaxmi, 7 Mahalaxmi, Mahalakshmi, Mumbai",₹6.93 Cr,1297 sqft,Poss. by Oct '31
Mumbai,"2 BHK Flat  for Sale in  Kanakia Silicon Valley, Kanakia Silicon Valley, Hiranandani Gardens, Mumbai","2 BHK Flat  for Sale in  Kanakia Silicon Valley, Kanakia Silicon Valley, Hiranandani Gardens, Mumbai",₹2.90 Cr,771 sqft,Ready to Move
Mumbai,"3 BHK Flat  for Sale in  Spenta Anthea, Spenta Anthea, Andheri West, Mumbai","3 BHK Flat  for Sale in  Spenta Anthea, Spenta Anthea, Andheri West, Mumbai",₹4.97 Cr,1133 sqft,Poss. by Dec '29
Mumbai,"2 BHK Flat  for Sale in  Neelam Senroofs, Neelam Senroofs, Nahur East, Mumbai","2 BHK Flat  for Sale in  Neelam Senroofs, Neelam Senroofs, Nahur East, Mumbai",₹2.60 Cr,893 sqft,Poss. by Dec '27
Mumbai,"1 BHK Flat  for Sale in  Tigon Elite, Tigon Elite, Pestom Sagar Colony, Mumbai","1 BHK Flat  for Sale in  Tigon Elite, Tigon Elite, Pestom Sagar Colony, Mumbai",₹89 Lac,416 sqft,Poss. by Dec '28
Mumbai,"2 BHK Flat  for Sale in  The Wadhwa Atmosphere O2, The Wadhwa Atmosphere O2, Mulund West, Mumbai","2 BHK Flat  for Sale in  The Wadhwa Atmosphere O2, The Wadhwa Atmosphere O2, Mulund West, Mumbai",₹1.96 Cr,634 sqft,Poss. by Dec '26
Mumbai,"2 BHK Flat  for Sale in  Santacruz West, Mumbai","2 BHK Flat  for Sale in  Santacruz West, Mumbai",₹3.75 Cr,850 sqft,Ready to Move
Mumbai,"2 BHK Flat  for Sale in  Chandak Treesourus, Chandak Treesourus, Chincholi Bunder, Mumbai","2 BHK Flat  for Sale in  Chandak Treesourus, Chandak Treesourus, Chincholi Bunder, Mumbai",₹2.65 Cr,744 sqft,Poss. by Jun '27
Mumbai,"3 BHK Flat  for Sale in  Oberoi Exquisite, Oberoi Exquisite, Goregaon East, Mumbai","3 BHK Flat  for Sale in  Oberoi Exquisite, Oberoi Exquisite, Goregaon East, Mumbai",₹6.76 Cr,1250 sqft,Ready to Move
Bangalore,"3 BHK Flat  for Sale in  Godrej Aveline, Yelahanka, Bangalore","3 BHK Flat  for Sale in  Godrej Aveline, Yelahanka, Bangalore",₹2.53 Cr,N/A,Poss. by Mar '31
Bangalore,"3 BHK Flat  for Sale in  Godrej Aveline, Yelahanka, Bangalore","3 BHK Flat  for Sale in  Godrej Aveline, Yelahanka, Bangalore",₹3.03 Cr,N/A,Poss. by Mar '31
Bangalore,"3 BHK Flat  for Sale in  Inspira Winds Of Life, Sarjapura Attibele Road, Bangalore","3 BHK Flat  for Sale in  Inspira Winds Of Life, Sarjapura Attibele Road, Bangalore",₹2.04 Cr,1497 sqft,Poss. by Nov '28
Bangalore,"4 BHK Flat  for Sale in  Amberstone Ventara Residences, Sarjapur Road, Bangalore","4 BHK Flat  for Sale in  Amberstone Ventara Residences, Sarjapur Road, Bangalore",₹2.55 Cr,N/A,Poss. by Apr '28
Bangalore,"4 BHK Flat  for Sale in  Godrej Aveline, Yelahanka, Bangalore","4 BHK Flat  for Sale in  Godrej Aveline, Yelahanka, Bangalore",₹3.98 Cr,N/A,Poss. by Mar '31
Bangalore,"3 BHK Flat  for Sale in  Sarang By Sumadhura Phase II, Whitefield, Bangalore","3 BHK Flat  for Sale in  Sarang By Sumadhura Phase II, Whitefield, Bangalore",₹2.39 Cr,N/A,Poss. by Jun '27
Bangalore,"3 BHK Flat  for Sale in  Brigade Belvedere, Budigere Cross, Bangalore","3 BHK Flat  for Sale in  Brigade Belvedere, Budigere Cross, Bangalore",₹2.72 Cr,N/A,N/A
Bangalore,"3 BHK Flat  for Sale in  Aditya Birla Evara, Sarjapur Road, Bangalore","3 BHK Flat  for Sale in  Aditya Birla Evara, Sarjapur Road, Bangalore",₹2.09 Cr,N/A,Poss. by Dec '31
Bangalore,"3 BHK Flat  for Sale in  Godrej Woods, Thanisandra Main Road, Bangalore","3 BHK Flat  for Sale in  Godrej Woods, Thanisandra Main Road, Bangalore",₹2.72 Cr,1026 sqft,N/A
Bangalore,"4 BHK Flat  for Sale in  Total Environment Windmills Of Your Mind, Whitefield, Bangalore","4 BHK Flat  for Sale in  Total Environment Windmills Of Your Mind, Whitefield, Bangalore",₹13.50 Cr,6000 sqft,Ready to Move
Bangalore,"3 BHK Flat  for Sale in  Phoenix Kessaku, Rajajinagar, Bangalore","3 BHK Flat  for Sale in  Phoenix Kessaku, Rajajinagar, Bangalore",₹6 Cr,2100 sqft,Ready to Move
Bangalore,"4 BHK Flat  for Sale in  DRK Bellagio, Krishnarajapura, Bangalore","4 BHK Flat  for Sale in  DRK Bellagio, Krishnarajapura, Bangalore",₹3.39 Cr,N/A,Poss. by Jun '28
Bangalore,"2 BHK Flat  for Sale in  The Clan by Global Edifice, Sarjapura, Bangalore","2 BHK Flat  for Sale in  The Clan by Global Edifice, Sarjapura, Bangalore",₹94.3 Lac,N/A,Poss. by Dec '27
Bangalore,"3 BHK Flat  for Sale in  Century Ethos, Hebbal, Bangalore","3 BHK Flat  for Sale in  Century Ethos, Hebbal, Bangalore",₹4.50 Cr,N/A,Ready to Move
Bangalore,"3 BHK Flat  for Sale in  G Corp The Icon, Thanisandra, Bangalore","3 BHK Flat  for Sale in  G Corp The Icon, Thanisandra, Bangalore",₹2.65 Cr,1645 sqft,Ready to Move
Bangalore,"3 BHK Flat  for Sale in  Karle Vario Homes, Hebbal, Bangalore","3 BHK Flat  for Sale in  Karle Vario Homes, Hebbal, Bangalore",₹2.49 Cr,N/A,Poss. by Jun '27
Bangalore,"3 BHK Flat  for Sale in  Prestige Shantiniketan, Whitefield, Bangalore","3 BHK Flat  for Sale in  Prestige Shantiniketan, Whitefield, Bangalore",₹4.40 Cr,1661 sqft,Ready to Move
Bangalore,"2 BHK Flat  for Sale in  Prestige Falcon City, Kanakapura Road, Bangalore","2 BHK Flat  for Sale in  Prestige Falcon City, Kanakapura Road, Bangalore",₹2.25 Cr,900 sqft,Ready to Move
Bangalore,"3 BHK Flat  for Sale in  Prestige Lakeside Habitat, Whitefield, Bangalore","3 BHK Flat  for Sale in  Prestige Lakeside Habitat, Whitefield, Bangalore",₹2.30 Cr,N/A,Ready to Move
Bangalore,Plot/Land for Sale in Sarjapur Road Bangalore,  Plot/Land for Sale in Sarjapur Road Bangalore,₹2.70 Cr,N/A,N/A
Bangalore,"3 BHK Flat  for Sale in  Ajmera Lakeside Paradise, Yelahanka, Bangalore","3 BHK Flat  for Sale in  Ajmera Lakeside Paradise, Yelahanka, Bangalore",₹1.40 Cr,980 sqft,Ready to Move
Bangalore,"4 BHK Flat  for Sale in  Richmond Town, Richmond Town, Bangalore","4 BHK Flat  for Sale in  Richmond Town, Richmond Town, Bangalore",₹3.80 Cr,2600 sqft,Ready to Move
Bangalore,"3 BHK Flat  for Sale in  Gokulam Apartment I, Kanakapura Road, Bangalore","3 BHK Flat  for Sale in  Gokulam Apartment I, Kanakapura Road, Bangalore",₹1.75 Cr,1750 sqft,Ready to Move
Bangalore,"3 BHK Flat  for Sale in  Amrutha Platinum Towers, Whitefield, Bangalore","3 BHK Flat  for Sale in  Amrutha Platinum Towers, Whitefield, Bangalore",₹1.75 Cr,N/A,Ready to Move
